id,gradyear,position,sportsteam,sportsteam,sportsclub,sportsclub,greek,greek,admissions,admissions,ocip,ocip,work,work,theme,theme,eboard,eboard,none,none,saac,saac,status
601586,2028,ClubRep,0,,0,,0,,0,,0,,0,,1,Yes,1,Yes,0,,0,No,Domestic Student
601046,2027,ClubRep,0,,0,,1,Yes,0,,0,,0,,0,,0,,0,,0,No,Domestic Student
602034,2029,Senator,0,,1,Yes,0,,0,,0,,0,,0,,0,,0,,0,No,Domestic Student
601295,2027,ClubRep,0,,0,,1,Yes,0,,0,,0,,0,,1,Yes,0,,0,No,Domestic Student
601478,2028,ClubRep,0,,1,Yes,0,,0,,0,,0,,0,,0,,0,,0,No,Domestic Student
601570,2028,ClubRep,1,Yes,0,,0,,0,,0,,0,,1,Yes,0,,0,,0,,Domestic Student
601694,2028,ClubRep,1,Yes,0,,0,,1,Yes,0,,1,Yes,1,Yes,0,,0,,0,No,Domestic Student
601830,2028,ClubRep,0,,1,Yes,0,,0,,0,,1,Yes,0,,1,Yes,0,,0,No,Domestic Student
601800,2028,Senator,0,,0,,0,,0,,1,Yes,1,Yes,0,,1,Yes,0,,0,No,Domestic Student
601564,2028,ClubRep,1,Yes,0,,0,,0,,0,,0,,1,Yes,1,Yes,0,,1,Yes,Domestic Student
602128,2029,Senator,0,,0,,0,,0,,0,,1,Yes,0,,1,Yes,0,,0,,Domestic Student
601810,2028,ClubRep,0,,1,Yes,1,Yes,0,,0,,0,,0,,1,Yes,0,,0,No,International Student
601132,2026,ClubRep,0,,0,,0,,0,,0,,1,Yes,1,Yes,1,Yes,0,,0,,Domestic Student
602054,2029,Chair,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,0,,International Student
600528,2026,ClubRep,0,,0,,0,,0,,1,Yes,1,Yes,1,Yes,1,Yes,0,,0,,Domestic Student
600590,2026,ClubRep,0,,0,,0,,0,,0,,0,,1,Yes,1,Yes,0,,0,,Domestic Student
601554,2028,Senator,1,Yes,0,,0,,1,Yes,0,,0,,0,,0,,0,,0,No,Domestic Student
601340,2027,Senator,0,,1,Yes,1,Yes,1,Yes,0,,0,,0,,1,Yes,0,,0,No,Domestic Student
601686,2028,Senator,1,Yes,0,,0,,0,,0,,0,,0,,1,Yes,0,,0,No,Domestic Student
601539,2029,Senator,0,,1,Yes,0,,0,,0,,1,Yes,0,,0,,0,,0,No,International Student
602176,2029,ClubRep,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,0,No,Domestic Student
601695,2028,ClubRep,0,,0,,0,,0,,0,,1,Yes,1,Yes,1,Yes,0,,0,No,Domestic Student
601361,2027,ClubRep,0,,1,Yes,1,Yes,0,,0,,1,Yes,0,,1,Yes,0,,0,No,Domestic Student
600780,2026,Senator,1,Yes,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,Domestic Student
601114,2027,Chair,1,Yes,0,,0,,0,,1,Yes,0,,0,,0,,0,,1,Yes,Domestic Student
602332,2029,ClubRep,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,Domestic Student
602337,2029,ClubRep,0,,0,,0,,0,,0,,1,Yes,1,Yes,1,Yes,0,,0,No,Domestic Student
600987,2027,ClubRep,0,,0,,1,Yes,0,,0,,0,,0,,0,,0,,0,No,Domestic Student
601672,2029,Chair,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,No,Domestic Student
600986,2026,Chair,0,,1,Yes,0,,0,,0,,0,,0,,1,Yes,0,,1,Yes,Domestic Student
602092,2029,Senator,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,Domestic Student
601756,2028,Chair,1,Yes,0,,0,,1,Yes,0,,1,Yes,0,,1,Yes,0,,1,Yes,Domestic Student
602266,2029,Senator,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,Domestic Student
601949,2029,Senator,0,,1,Yes,0,,0,,0,,1,Yes,0,,0,,0,,0,No,International Student
600775,2026,Chair,0,,0,,0,,0,,1,Yes,0,,1,Yes,1,Yes,0,,0,No,International Student
601623,2028,Senator,0,,1,Yes,1,Yes,0,,0,,1,Yes,0,,0,,0,,0,No,Domestic Student
602238,2029,Senator,1,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,No,Domestic Student
601710,2028,Senator,1,Yes,1,Yes,0,,0,,0,,1,Yes,0,,0,,0,,0,No,Domestic Student
601048,2027,ClubRep,0,,1,Yes,1,Yes,0,,0,,0,,0,,0,,0,,0,No,Domestic Student
601688,2027,ClubRep,0,,0,,1,Yes,0,,0,,0,,0,,1,Yes,0,,0,No,Domestic Student
602365,2029,Senator,1,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,No,Domestic Student
601115,2028,ClubRep,0,,1,Yes,1,Yes,1,Yes,0,,0,,0,,1,Yes,0,,0,No,Domestic Student
602074,2029,Chair,0,,1,Yes,0,,1,Yes,0,,0,,0,,0,,0,,0,No,Domestic Student
602156,2029,ClubRep,0,,0,,0,,0,,0,,1,Yes,0,,1,Yes,0,,0,No,Prefer not to say
602135,2029,Senator,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,Domestic Student
601198,2027,Senator,0,,1,Yes,0,,0,,1,Yes,1,Yes,1,Yes,1,Yes,0,,0,No,International Student
600724,2026,ClubRep,0,,0,,0,,0,,0,,1,Yes,1,Yes,1,Yes,0,,0,,Domestic Student
601602,2028,Senator,1,Yes,0,,1,Yes,0,,0,,0,,0,,0,,0,,0,No,Domestic Student
601528,2028,ClubRep,0,,1,Yes,0,,0,,0,,0,,1,Yes,0,,0,,0,No,Domestic Student
602121,2029,Senator,0,,1,Yes,0,,1,Yes,0,,0,,0,,0,,0,,0,,Domestic Student
601707,2028,ClubRep,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,0,No,Domestic Student
602191,2029,Senator,1,Yes,0,,0,,1,Yes,0,,0,,0,,0,,0,,0,No,Domestic Student
601457,2028,ClubRep,0,,1,Yes,0,,0,,0,,1,Yes,1,Yes,0,,0,,0,No,Domestic Student